Datum,Zeit,Adr,ID-Nr.,HST,Nr.,Wert,Einheit,Beschreibung,Art,Modul,SP-Nr.,Tarif
01.01.10,00:00,3,9,GWF,8,372,hours,operating time,instant.,0,0,0
01.01.10,00:00,3,9,GWF,9,0,l/h,volume flow,instant.,0,0,0
01.01.10,00:00,3,9,GWF,10,0,kW,power,instant.,0,0,0
01.01.10,00:00,3,9,GWF,11,31.12.09 23:58 Win  V,,time point,instant.,0,0,0
01.01.10,00:00,3,9,GWF,12,7,HCA,HCA-Unit,instant.,1,0,0
01.01.10,00:00,3,9,GWF,13,0,HCA,HCA-Unit,instant.,2,0,0
01.01.10,00:00,3,9,GWF,14,0,kWh,energy,instant.,0,1,0
01.01.10,00:00,3,9,GWF,15,0,m^3,volume,instant.,0,1,0
01.01.10,00:00,3,9,GWF,16,0,m^3,volume,instant.,1,1,0
01.01.10,00:00,3,9,GWF,17,0,HCA,HCA-Unit,instant.,1,1,0
01.01.10,00:00,3,9,GWF,18,0,HCA,HCA-Unit,instant.,2,1,0
01.01.10,00:00,3,9,GWF,19,00.00.00,,time point,instant.,0,1,0
01.01.10,00:00,3,9,GWF,20,$00,,M-Bus state,,,,
01.02.10,00:00,1,1,GWF,1,1850,kWh,energy,instant.,0,0,0
01.02.10,00:00,1,1,GWF,2,213.49,m^3,volume,instant.,0,0,0
01.02.10,00:00,1,1,GWF,3,212.38,m^3,volume,instant.,1,0,0
01.02.10,00:00,1,1,GWF,4,33,°C,flow temperature,instant.,0,0,0
01.02.10,00:00,1,1,GWF,5,32,°C,return temperature,instant.,0,0,0
01.02.10,00:00,1,1,GWF,6,1.1,K,temperature difference,instant.,0,0,0
01.02.10,00:00,1,1,GWF,7,1119,hours,on time,instant.,0,0,0
01.02.10,00:00,1,1,GWF,8,1119,hours,operating time,instant.,0,0,0
01.02.10,00:00,1,1,GWF,9,0,l/h,volume flow,instant.,0,0,0
01.02.10,00:00,1,1,GWF,10,0,kW,power,instant.,0,0,0
01.02.10,00:00,1,1,GWF,11,31.01.10 23:56 Win  V,,time point,instant.,0,0,0
01.02.10,00:00,1,1,GWF,12,218,HCA,HCA-Unit,instant.,1,0,0
01.02.10,00:00,1,1,GWF,13,0,HCA,HCA-Unit,instant.,2,0,0
01.02.10,00:00,1,1,GWF,14,0,kWh,energy,instant.,0,1,0
01.02.10,00:00,1,1,GWF,15,0,m^3,volume,instant.,0,1,0
01.02.10,00:00,1,1,GWF,16,0,m^3,volume,instant.,1,1,0
01.02.10,00:00,1,1,GWF,17,0,HCA,HCA-Unit,instant.,1,1,0
01.02.10,00:00,1,1,GWF,18,0,HCA,HCA-Unit,instant.,2,1,0
01.02.10,00:00,1,1,GWF,19,00.00.00,,time point,instant.,0,1,0
01.02.10,00:00,1,1,GWF,20,$00,,M-Bus state,,,,
01.02.10,00:00,2,4,GWF,1,2276,kWh,energy,instant.,0,0,0
01.02.10,00:00,2,4,GWF,2,209.85,m^3,volume,instant.,0,0,0
01.02.10,00:00,2,4,GWF,3,209.36,m^3,volume,instant.,1,0,0
01.02.10,00:00,2,4,GWF,4,31,°C,flow temperature,instant.,0,0,0
01.02.10,00:00,2,4,GWF,5,31,°C,return temperature,instant.,0,0,0
01.02.10,00:00,2,4,GWF,6,0.6,K,temperature difference,instant.,0,0,0
01.02.10,00:00,2,4,GWF,7,1118,hours,on time,instant.,0,0,0
01.02.10,00:00,2,4,GWF,8,1118,hours,operating time,instant.,0,0,0
01.02.10,00:00,2,4,GWF,9,0,l/h,volume flow,instant.,0,0,0
01.02.10,00:00,2,4,GWF,10,0,kW,power,instant.,0,0,0
01.02.10,00:00,2,4,GWF,11,31.01.10 23:55 Win  V,,time point,instant.,0,0,0
01.02.10,00:00,2,4,GWF,12,755,HCA,HCA-Unit,instant.,1,0,0
01.02.10,00:00,2,4,GWF,13,0,HCA,HCA-Unit,instant.,2,0,0
01.02.10,00:00,2,4,GWF,14,0,kWh,energy,instant.,0,1,0
01.02.10,00:00,2,4,GWF,15,0,m^3,volume,instant.,0,1,0
01.02.10,00:00,2,4,GWF,16,0,m^3,volume,instant.,1,1,0
01.02.10,00:00,2,4,GWF,17,0,HCA,HCA-Unit,instant.,1,1,0
01.02.10,00:00,2,4,GWF,18,0,HCA,HCA-Unit,instant.,2,1,0
01.02.10,00:00,2,4,GWF,19,00.00.00,,time point,instant.,0,1,0
01.02.10,00:00,2,4,GWF,20,$00,,M-Bus state,,,,
01.02.10,00:00,4,5,GWF,1,2526,kWh,energy,instant.,0,0,0
01.02.10,00:00,4,5,GWF,2,420.55,m^3,volume,instant.,0,0,0
01.02.10,00:00,4,5,GWF,3,415.09,m^3,volume,instant.,1,0,0
01.02.10,00:00,4,5,GWF,4,31,°C,flow temperature,instant.,0,0,0
01.02.10,00:00,4,5,GWF,5,30,°C,return temperature,instant.,0,0,0
01.02.10,00:00,4,5,GWF,6,1.8,K,temperature difference,instant.,0,0,0
